Size,Sectors,Conflicts
1261,1024,40352,0
1261,256,40352,0
1261,512,40352,0
1280,1024,40960,0
1280,256,40960,0
1280,512,40960,0
1281,1024,40992,0
1281,256,40992,0
1281,512,40992,0
1523,1024,48736,0
1523,256,48736,0
1523,512,48736,0
1600,1024,51200,0
1600,256,51200,0
1600,512,51200,0
1601,1024,51232,0
1601,256,51232,0
1601,512,51232,0
320,1024,10240,0
320,256,10240,0
320,512,10240,0
321,1024,10272,0
321,256,10272,0
321,512,10272,0
584,1024,18688,0
584,256,18688,0
584,512,18688,0
640,1024,20480,0
640,256,20480,0
640,512,20480,0
641,1024,20512,0
641,256,20512,0
641,512,20512,0
928,1024,29696,0
928,256,29696,0
928,512,29696,0
960,1024,30720,0
960,256,30720,0
960,512,30720,0
961,1024,30752,0
961,256,30752,0
961,512,30752,0
